x,y,z
0.4605502695467202,0.40430966470686697,-0.46624227917094546
0.5011354827223703,0.4745903063583202,-0.47064010500082076
0.7192065002354806,0.81775491086857,-0.13474118994247172
0.6992599227102542,0.06653014860342223,0.22946879611824592
0.29821945856565096,0.30861364846015127,0.3647991583558348
0.13536579134522303,0.8382180044925368,0.2781428110850192
0.3602598887242773,0.21978970066727863,-0.2102375146354799
0.6340129244863812,0.6976314006927721,-0.33421629346109166
0.27028223765688947,-0.026346034038052826,0.2886380188310214
0.36349645911967954,0.3573867388394137,0.4334046920103837
0.36763298964380875,0.741849492761234,-0.32699627088403166
0.013542683556784904,0.8126009819119958,0.3106188943353938
0.6385553281339461,0.9302806423808125,-0.0896601907088443
0.29633884182507314,0.06189687655912298,0.38737440055118527
0.7063649163594592,0.17444695534473834,0.47203820852667394
0.6751522236125345,0.39416214940844574,-0.43253819275549926
0.9258771809508596,0.3291194536953588,0.17010349978907827
0.5319183578644339,0.020163514422912754,0.04539134405765792
0.7444707499031804,0.5433991955797597,-0.3176276479236732
0.7808346699272001,0.952565056995202,-0.11497282254043623
