x,y,z
0.3122040170400066,0.4201156696301572,0.0906701440961761
0.3769468498896405,0.5298209727473315,0.03967649250319306
0.6269817027008299,0.746122486431372,0.19664096014537769
0.3992830421350928,0.09567737264451015,0.6511354012980205
0.2382819045673082,0.33318512393733074,0.9063387156474574
0.4553926437107086,0.6512701540679285,0.6120410541768624
0.2618496649525196,0.20445758834127675,0.4364464211204988
0.5138288623626744,0.6960009815030063,0.18797852309783786
0.3055234792028665,0.31983752969001233,0.7068548532178853
0.2846306017817349,0.3477755829974959,0.8601847371014393
0.46197404021286553,0.7127597597154849,0.21461614470433524
0.3627068922759259,0.6128009119702548,0.5509636758107577
0.6738952259954549,0.8323014563270071,0.2780237464119577
0.2909964301082798,0.22222274130891026,0.75323861705934
0.47115388193338187,0.16461290426416686,0.8582381013201111
0.6047230366201676,0.14868341957063275,0.18196708225090463
0.49163643466531354,0.030664590593731576,0.4947089005553494
0.287920226193226,0.18593381451332933,0.6135772548323751
0.656257808270921,0.4567801090843247,0.0542386235013057
0.639627187883519,0.7227621579915958,0.2086846593134479
