dim,loss
1.0,73.42999651593945
2.0,36.27716195491883
3.0,19.599446824233215
4.0,16.745106365825798
5.0,15.75456816565444
6.0,15.370626127950374
7.0,15.31482455134552
8.0,15.301252551049595
9.0,15.30129684196188
