x,y,z
1.7557916989390667,2.7953525759229647,1.61593723641259
1.4764024210042703,2.7514704881644008,1.6757119258612305
1.5016397009832048,2.590385822871967,2.236558045114118
1.8250841807371752,3.1999727354013054,1.807187332402221
1.4545661366277,2.875952888562079,2.4460356133044665
2.143254037003762,2.8260895330468663,2.0186741168322464
1.5890026528830095,3.0593177577372215,1.6125874923632122
1.659078728428183,2.6089948242587804,1.8461683060436735
1.376817817581156,3.289899723790815,2.0477962490335275
1.4792541344579966,2.988352364918799,2.3890764030769547
1.695438137779713,2.536139535121665,1.8171567596542921
2.1529874166919303,2.91665513294039,2.1286152646973453
1.5514378521252425,2.4879303673978788,2.155494733739293
1.443719442056419,3.2175686656746736,2.016550541424912
1.8170359675788172,3.2717393119905394,2.195788455202605
1.5791230735950843,2.667900504311622,1.6090802582816024
1.1201242946395134,2.848551103820677,1.9911337382299452
1.5972990374337366,3.103997414557503,1.7136722821254493
1.5157123703330997,2.586295867513031,1.868300215665185
1.7581462029963055,2.4815071970815192,2.1494733313491077
